"","LEP","UHY","site","year"
"497",NA,NA,"HU48",2008
"498",NA,NA,"HU48",2009
"499",NA,NA,"HU48",2010
"500",NA,NA,"HU48",2011
"501",NA,NA,"HU48",2012
"502",NA,NA,"HU48",2013
"503",0.000376256313302,0.345828694975,"HU53",1998
"504",0.0242131294257,0.057044083816,"HU53",1999
"505",0.150770569094,0.0676810290348,"HU53",2000
"506",NA,0.028046877708,"HU53",2001
"507",NA,0.018725,"HU53",2002
"508",1.21528233239,NA,"HU53",2003
"509",1.53276776958,NA,"HU53",2004
"510",1.20045269695,NA,"HU53",2005
"511",0.43614287734,NA,"HU53",2006
"512",NA,NA,"HU53",2007
"513",NA,NA,"HU53",2008
"514",NA,NA,"HU53",2009
"515",NA,NA,"HU53",2010
"516",NA,NA,"HU53",2011
"517",NA,NA,"HU53",2012
"518",NA,NA,"HU53",2013
"519",0.116258326112,0.0149121320344,"HU54",1998
"520",-0.00771062318938,0.0599092775926,"HU54",1999
"521",0.560898389181,0.127442729971,"HU54",2000
"522",0.118075468081,0.0420174098192,"HU54",2001
"523",0.0118,0.16545,"HU54",2002
"524",0.184620553324,0.061956712665,"HU54",2004
"525",0.0855265362369,0.0667417617472,"HU54",2005
"526",0.0166065240788,0.0749727758199,"HU54",2006
"527",-0.151454923161,0.107597779968,"HU54",2007
"528",0.015954801564,0.105419193097,"HU54",2008
"529",-0.185259493644,0.0613766355175,"HU54",2009
"530",NA,0.0916975838315,"HU54",2010
"531",0.520165812324,0.0596147474787,"HU54",2011
"532",NA,NA,"HU54",2012
"533",NA,NA,"HU54",2013
"534",0.0110255420458,0.190112347584,"HU61",1998
"535",-0.00306988546339,NA,"HU61",1999
"536",0.0217333630945,0.109341473657,"HU61",2000
"537",NA,0.127287726381,"HU61",2001
"538",NA,0.111325,"HU61",2002
"539",0.517342733687,NA,"HU61",2003
"540",0.120511254519,NA,"HU61",2004
"541",0.18844186239,NA,"HU61",2005
"542",0.224085030871,NA,"HU61",2006
"543",NA,NA,"HU61",2007
"544",NA,NA,"HU61",2008
"545",NA,NA,"HU61",2009
"546",NA,NA,"HU61",2010
"547",NA,NA,"HU61",2011
"548",NA,NA,"HU61",2012
"549",NA,NA,"HU61",2013
"550",0.011070836944,0.20706369318,"HU93",1998
"551",0.00523838834762,0.0552302408025,"HU93",1999
"552",0.0353290737726,0.0856281962568,"HU93",2000
"553",NA,0.0301042523395,"HU93",2001
"554",NA,0.0197125,"HU93",2002
"555",0.725852247405,NA,"HU93",2003
"556",1.21020685951,NA,"HU93",2004
"557",2.99829582015,NA,"HU93",2005
"558",-0.00142967943542,NA,"HU93",2006
"559",NA,NA,"HU93",2007
"560",NA,NA,"HU93",2008
"561",0.129847136879,NA,"HU93",2009
"562",NA,NA,"HU93",2010
"563",0.139176451018,NA,"HU93",2011
"564",NA,NA,"HU93",2012
"565",NA,NA,"HU93",2013
"566",NA,NA,"HU95",1998
"567",NA,NA,"HU95",1999
"568",NA,NA,"HU95",2000
"569",NA,NA,"HU95",2001
"570",NA,NA,"HU95",2002
"571",NA,NA,"HU95",2003
"572",NA,NA,"HU95",2004
"573",NA,NA,"HU95",2005
"574",NA,NA,"HU95",2006
"575",NA,NA,"HU95",2007
"576",NA,NA,"HU95",2008
"577",NA,NA,"HU95",2009
"578",NA,NA,"HU95",2010
"579",NA,NA,"HU95",2011
"580",NA,NA,"HU95",2012
"581",NA,NA,"HU95",2013
"582",NA,NA,"HU96",1998
"583",NA,NA,"HU96",1999
"584",NA,NA,"HU96",2000
"585",NA,NA,"HU96",2001
"586",NA,NA,"HU96",2002
"587",NA,NA,"HU96",2003
"588",NA,NA,"HU96",2004
"589",NA,NA,"HU96",2005
"590",NA,NA,"HU96",2006
"591",NA,NA,"HU96",2007
"592",NA,NA,"HU96",2008
"593",NA,NA,"HU96",2009
"594",NA,NA,"HU96",2010
"595",NA,NA,"HU96",2011
"596",NA,NA,"HU96",2012
"597",NA,NA,"HU96",2013
"598",NA,NA,"HU97",1998
"599",NA,NA,"HU97",1999
"600",NA,NA,"HU97",2000
"601",NA,NA,"HU97",2001
"602",NA,NA,"HU97",2002
"603",NA,NA,"HU97",2003
"604",NA,NA,"HU97",2004
"605",NA,NA,"HU97",2005
"606",NA,NA,"HU97",2006
"607",NA,NA,"HU97",2007
"608",NA,NA,"HU97",2008
"609",NA,NA,"HU97",2009
"610",NA,NA,"HU97",2010
"611",NA,NA,"HU97",2011
"612",NA,NA,"HU97",2012
"613",NA,NA,"HU97",2013
"614",NA,NA,"HU98",1998
"615",NA,NA,"HU98",1999
"616",NA,NA,"HU98",2001
"617",NA,NA,"HU98",2002
"618",NA,NA,"HU98",2003
